;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Referente;Doc;C Nr / Pedido;Op/Proj;Classificação;Categoria;Prestador;Estab;CNPJ;Cod Datasul;Situação;Status;Valor R$
;2021;abr;05/04/21;05/04/21;12/04/21;CONTRATO;VALIDEINFO WEB;P 07/12;Serviços Consulta Web;1457;778;O;SISTEMAS;Consultoria;VALIDEINFO WEB;I7 NÚCLEO;13.342.264/0001-75;2108;ATIVO;LANÇADO; 150,00 
;2021;abr;06/04/21;06/04/21;20/04/21;CONTRATO;AMPLISTORE - AMPLIDRIVE;P 10/12;Amplidrive;1131;836;0;SISTEMAS;Consultoria;AMPLISTORE SOFTWARE LTDA;I7 NÚCLEO;31.749.123/0001-53;8550;INATIVO;LANÇADO; 990,00 
;2021;abr;07/04/21;06/04/21;20/04/21;CONTRATO;CLARO NET - HT3;P 04/12;Internet HT3;1397086;1073;O;CONECTIVIDADE;Internet;CLARO NEXT TELECOMUNICAÇÕES S.A.;I7 NÚCLEO;66.970.229/0019-96;23772;ATIVO;LANÇADO; 155,00 
;2021;abr;08/04/21;06/04/21;05/05/21;CONTRATO;ACTTIVE - DOCNIX;P 03/12;Licença de Uso;7499;640;O;SISTEMAS;Consultoria Software;ACTTIVE LTDA;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 2.799,52 
;2021;abr;08/04/21;07/04/21;17/04/21;CONTRATO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;469;991;O;SISTEMAS;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 6.765,04 
;2021;abr;09/04/21;09/04/21;20/04/21;CONTRATO;INFOMACH FIREWALL;Locação de Firewall;Locação e Suporte SonicWall;7862;708;0;INFRA;Consultoria;INFOMACH FIREWALL;I7 NÚCLEO;07.857.806/0001-40;5083;INATIVO;LANÇADO; 1.900,00 
;2021;abr;12/04/21;09/04/21;25/04/21;CONTRATO;BELLFONE - 2;Parcela 28/36;Serviços de telefonia;3154;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 1.403,83 
;2021;abr;12/04/21;09/04/21;25/04/21;CONTRATO;BELLFONE - 1;Parcela 28/36;Serviços de telefonia;3153;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 3.344,50 
;2021;abr;12/04/21;12/04/21;30/04/21;CONTRATO;SANTODIGITAL 2;P 04/12;Suporte G Suite - Tx Manutenção;88527;958;0;SISTEMAS;Consultoria Software;SANTODIGITAL DIST E CONSULT INFORM LTDA;I7 NÚCLEO;16.895.942/0001-15;261222;INATIVO;LANÇADO; 150,00 
;2021;abr;12/04/21;12/04/21;30/04/21;CONTRATO;SANTODIGITAL 1;P 04/12;G Suite Business - Licenca;88456;958;O;SISTEMAS;Consultoria Software;SANTODIGITAL DIST E CONSULT INFORM LTDA;I7 NÚCLEO;16.895.942/0001-15;261222;ATIVO;LANÇADO; 6.688,00 
;2021;abr;14/04/21;13/04/21;30/04/21;CONTRATO;TOTVS 00 - TICKETS;Manutenção Datasul - ERP;TICKETS;803680;134;O;DATASUL;Consultoria Software;TOTVS S.A.;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 1.642,74 
